
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-06-04 15:44:48 / ........................................................................................ ~ 1s
  2026-06-04 15:45:00 /login ................................................................................... ~ 2s
  2026-06-04 15:45:03 /seller/dashboard ........................................................................ ~ 9s
  2026-06-04 15:45:13 /assets/brand/logo-primary-transparent-cropped.png .................................. ~ 12.54ms
  2026-06-04 15:45:13 /assets/livestock/cow-ayrshire.jpg ................................................. ~ 103.70ms
  2026-06-04 15:45:13 /assets/livestock/chicken.jpg ...................................................... ~ 190.34ms
  2026-06-04 15:45:34 .......................................................................................... ~ 5s
  2026-06-04 15:45:39 /logout .................................................................................. ~ 4s
  2026-06-04 15:45:43 / .................................................................................. ~ 588.36ms
  2026-06-04 15:45:43 /assets/livestock/cow-field-real.jpg ................................................. ~ 1.19ms
  2026-06-04 15:45:43 /assets/services/livestock-market-support.jpg ....................................... ~ 11.88ms
  2026-06-04 15:45:43 /assets/brand/logo-symbol.png ....................................................... ~ 15.61ms
  2026-06-04 15:45:43 /assets/feeds/hay-silage.jpg ........................................................ ~ 20.64ms
  2026-06-04 15:45:44 /assets/livestock/cow-ayrshire.jpg ................................................... ~ 1.45ms
  2026-06-04 15:45:44 /assets/brand/logo-primary-transparent-cropped.png .................................. ~ 11.09ms
  2026-06-04 15:45:45 .......................................................................................... ~ 5s
  2026-06-04 15:46:22 /login ................................................................................... ~ 1s
  2026-06-04 15:46:24 /seller/dashboard ........................................................................ ~ 1s
  2026-06-04 15:46:25 /admin/login ............................................................................. ~ 1s
  2026-06-04 15:46:27 /admin/dashboard ......................................................................... ~ 3s
