
   INFO  Server running on [http://127.0.0.1:8001].  

  Press Ctrl+C to stop the server

  2026-05-23 19:44:53 / ........................................................................................ ~ 8s
  2026-05-23 19:46:07 / ........................................................................................ ~ 1s

   INFO  Environment modified. Restarting server...  

   INFO  Server running on [http://127.0.0.1:8001].  

  Press Ctrl+C to stop the server

  2026-05-23 19:46:57 / ........................................................................................ ~ 7s
  2026-05-23 19:48:30 / ........................................................................................ ~ 3s
  2026-05-23 19:49:06 /marketplace ............................................................................. ~ 1s
  2026-05-23 19:49:07 /livestock/ayrshire-cow-nakuru ........................................................... ~ 2s
  2026-05-23 19:49:08 /categories ........................................................................ ~ 516.91ms
  2026-05-23 19:49:09 /categories/cattle ....................................................................... ~ 2s
  2026-05-23 19:49:12 /counties ................................................................................ ~ 2s
  2026-05-23 19:49:14 /counties/nakuru ................................................................... ~ 503.05ms
  2026-05-23 19:49:15 /guide ................................................................................... ~ 1s
  2026-05-23 19:49:16 /seller/dashboard ........................................................................ ~ 1s
  2026-05-23 19:49:18 /seller/listings/create/preview .......................................................... ~ 1s
  2026-05-23 19:49:19 /admin/dashboard ......................................................................... ~ 2s
  2026-05-23 19:49:22 /admin/listings .......................................................................... ~ 1s
  2026-05-23 19:49:22 /admin/users/1 ........................................................................... ~ 1s
  2026-05-23 19:49:24 /admin/settings .......................................................................... ~ 1s
  2026-05-23 19:50:32 / ........................................................................................ ~ 1s
  2026-05-23 19:50:32 / .................................................................................. ~ 508.28ms
  2026-05-23 19:50:35 /assets/brand/logo-primary.png ..................................................... ~ 516.43ms
  2026-05-23 19:50:35 /assets/placeholders/livestock-1.jpg ................................................. ~ 3.62ms
  2026-05-23 19:50:35 /assets/brand/coming-soon-web.png .................................................. ~ 529.86ms
  2026-05-23 19:50:35 /assets/placeholders/livestock-2.jpg ................................................. ~ 0.75ms
  2026-05-23 19:50:56 / .................................................................................. ~ 525.99ms
  2026-05-23 19:50:56 /assets/brand/logo-primary.png ..................................................... ~ 573.03ms
  2026-05-23 19:50:57 /assets/placeholders/livestock-1.jpg ................................................. ~ 0.84ms
  2026-05-23 19:50:57 /assets/placeholders/livestock-2.jpg ................................................. ~ 1.09ms
  2026-05-23 19:50:57 /assets/brand/coming-soon-web.png ................................................... ~ 28.09ms
  2026-05-23 19:50:58 /favicon.ico ....................................................................... ~ 502.67ms
  2026-05-23 19:51:40 / ....................................................................................... ~ 21s
  2026-05-23 19:51:40 / ....................................................................................... ~ 22s
  2026-05-23 19:52:07 / .................................................................................. ~ 543.66ms
  2026-05-23 19:52:07 /assets/placeholders/livestock-1.jpg ............................................... ~ 516.55ms
  2026-05-23 19:52:06 /assets/brand/logo-primary.png ........................................................... ~ 1s
  2026-05-23 19:52:07 /assets/placeholders/livestock-2.jpg ............................................... ~ 553.02ms
  2026-05-23 19:52:07 /assets/brand/coming-soon-web.png .................................................. ~ 568.18ms
  2026-05-23 19:52:13 /categories ........................................................................ ~ 518.04ms
  2026-05-23 19:52:14 /assets/brand/logo-primary.png ....................................................... ~ 0.99ms
  2026-05-23 19:52:19 /how-it-works ............................................................................ ~ 1s
  2026-05-23 19:52:20 /assets/brand/logo-primary.png ..................................................... ~ 514.01ms
  2026-05-23 19:52:42 /marketplace ............................................................................. ~ 2s
  2026-05-23 19:52:42 /assets/brand/logo-primary.png ........................................................... ~ 1s
  2026-05-23 19:52:44 /assets/placeholders/livestock-1.jpg ................................................. ~ 1.72ms
  2026-05-23 19:52:44 /assets/placeholders/livestock-2.jpg ................................................. ~ 3.16ms
  2026-05-23 19:52:55 /guide ............................................................................. ~ 501.86ms
  2026-05-23 19:52:56 /assets/brand/logo-primary.png ....................................................... ~ 0.74ms
  2026-05-23 19:53:33 /marketplace ....................................................................... ~ 508.11ms
  2026-05-23 19:53:34 /assets/placeholders/livestock-1.jpg ................................................. ~ 0.99ms
  2026-05-23 19:53:34 /assets/brand/logo-primary.png ....................................................... ~ 5.81ms
  2026-05-23 19:53:34 /assets/placeholders/livestock-2.jpg ................................................. ~ 3.79ms
  2026-05-23 19:53:58 .......................................................................................... ~ 1m
  2026-05-23 19:57:03 /categories ........................................................................ ~ 509.96ms
  2026-05-23 19:57:03 /assets/brand/logo-primary.png ..................................................... ~ 514.43ms
  2026-05-23 19:57:06 /how-it-works ...................................................................... ~ 509.94ms
  2026-05-23 19:57:06 /assets/brand/logo-primary.png ....................................................... ~ 9.81ms
  2026-05-23 19:57:09 /about ............................................................................. ~ 503.48ms
  2026-05-23 19:57:09 /assets/brand/logo-primary.png ....................................................... ~ 4.77ms
  2026-05-23 19:58:19 / ........................................................................................ ~ 1s
  2026-05-23 19:58:19 /assets/brand/logo-primary.png ..................................................... ~ 532.52ms
  2026-05-23 19:58:20 /assets/placeholders/livestock-1.jpg ................................................. ~ 0.71ms
  2026-05-23 19:58:20 /assets/brand/coming-soon-web.png .................................................... ~ 7.80ms
  2026-05-23 19:58:20 /assets/placeholders/livestock-2.jpg ................................................. ~ 0.63ms
